time,podName,estimate,latitude,longitude,elevation
3/4/2022 6:00,YPODB3,2.851023872,40.585257,-104.828085,5197
3/4/2022 7:00,YPODB3,2.708274951,40.585257,-104.828085,5197
3/4/2022 8:00,YPODB3,2.564369816,40.585257,-104.828085,5197
3/4/2022 9:00,YPODB3,2.438444471,40.585257,-104.828085,5197
3/4/2022 10:00,YPODB3,2.581234812,40.585257,-104.828085,5197
3/4/2022 11:00,YPODB3,2.726849126,40.585257,-104.828085,5197
3/4/2022 12:00,YPODB3,2.868864596,40.585257,-104.828085,5197
3/4/2022 13:00,YPODB3,2.78051635,40.585257,-104.828085,5197
3/4/2022 14:00,YPODB3,3.117231544,40.585257,-104.828085,5197
3/4/2022 15:00,YPODB3,2.793581272,40.585257,-104.828085,5197
3/4/2022 16:00,YPODB3,3.76066764,40.585257,-104.828085,5197
3/4/2022 17:00,YPODB3,4.338743516,40.585257,-104.828085,5197
3/4/2022 18:00,YPODB3,3.257458338,40.585257,-104.828085,5197
3/4/2022 19:00,YPODB3,2.738254251,40.585257,-104.828085,5197
3/4/2022 20:00,YPODB3,2.589464441,40.585257,-104.828085,5197
3/4/2022 21:00,YPODB3,2.89217892,40.585257,-104.828085,5197
3/4/2022 22:00,YPODB3,2.583997295,40.585257,-104.828085,5197
3/4/2022 23:00,YPODB3,2.488422742,40.585257,-104.828085,5197
